"title","stars","text"
"Pizza Hut - Union Place","5","This place was really awesome. As soon as you enter you are greeted by staff members who welcome you to have a seat and come for your orders. We had personal pan pizzas. Now it did take time for them to notice us and to take our orders but they eventually did. Bringing food to our table wasn't fast either. They said 15mins but it took more like 45 and they were not much crowded.
Pizza was best in class However. Better than any other pizza hut. Very soft, yet crunchy crust.
Overall really enjoyed the experience. The wait didn't seem too long due to presence of my friends. Had a lot of fun
Also as a bonus. There is a bell to ring on exit if you had fun!"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Their melts are superb with kochchi dip"
"Pizza Hut - Union Place","5","Good experience..."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Excellent"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Pretty nice nothing fancy but you can get your job done."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","In 2019, I rated this place 2 stars.  Now the service & food have improved.  I'm changing my ratings now. Very positive experience in the last few visits. 👏 Customer service team serves with a smile 😃"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","3","Me and my friends tried the new  Meltz pizza and it was great .... But really poor service waited for 1 hour for the food to arrive just to be told our order was overbaked and we had to wait another 20 minites 👎."
"Pizza Hut - Union Place","5","Nice place and tasty food"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Keep it up team 👌"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Childrens Day good wibe"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","One of the best mainstream fast food outlets in Colombo"
"Pizza Hut - Union Place","5","Nice place very busy great spicy pizza"
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Great service highly recommend"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Nice customer service."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","A beautiful and big Outlet in Union place. All the staff are going there best. Usually it is a little bit crowded at lunch and dinner time."
"Pizza Hut - Union Place","5","The primary outlet of Pizza Hut restaurant chain in Sri Lanka. The quality of pizzas served there are so perfect and tasty. The atmosphere of the dine-in restaurant is eye-catching and very spacious. Ample parking space is available."
"Pizza Hut - Union Place","5","PizzaHut branch with best atmosphere!"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","enything you eat in sri lanka are  spicy,including a pizza margherita"
"Pizza Hut - Union Place","4","Came here with my brother to taste their new addition MELTS. but really it not tasty as social media influencers informed. Just anothe average product from Pizza hut about it taste okay and you can enjoy all bites.
Waiting time was too high. You need to wait untill some waiters to come and get your order and you need to wait to get your order to the table and you need to fait for the waiter to get the total amount and you need to wait for the payment confirmation and receipt."
"Pizza Hut - Union Place","5","Amazing, peaceful place to spend some quality time with loved ones... Delicious food and friendly staff..."
"Pizza Hut - Union Place","5","Great place for dine. There is a play area for kids."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Good food at reasonable prices."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
